Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"1482101";"3000000460771";"ACID FUSIDIQ UBI 2% CRM 15G/12";"20";"0";"1";"26";"0";"0";"0";"0";"9";"26";"48"
"8099481";"9100000717741";"ALBENDAZOLE UBI 400MG CP 50X1";"179";"0";"179";"1002";"192";"172";"0";"0";"486";"1019";"804"
"8054194";"9100000597431";"AMOXICIL UBI 125MG PDR F/60ML";"3236";"0";"1272";"1096";"631";"1045";"0";"0";"948";"4276";"4072"
"8054231";"9100000597441";"AMOXICIL UBI 250MG PDR F/60ML";"130";"0";"1817";"1871";"841";"1178";"0";"0";"1639";"6800";"4266"
"8054024";"9100000596861";"AMOXICIL UBI 500MG GEL BL10X12";"6154";"0";"1108";"3075";"852";"870";"0";"0";"1914";"5648";"5940"
"8054461";"9100000612211";"AMPICILL UBI 1G PDR SOL INJ/50";"1553";"0";"300";"288";"67";"17";"0";"0";"324";"597";"449"
"8054030";"9100000612191";"AMPICILL UBI 500MG GEL BL10X12";"264";"0";"26";"2";"3";"0";"0";"0";"59";"108";"150"
"8054484";"9100000612221";"BENZYLPENI+SOLV 2,4MUI 10ML /1";"292";"0";"30";"59";"219";"85";"0";"0";"62";"316";"222"
"8054515";"9100000593301";"CIPROFLO UBI 100MG INJ F/50ML";"2814";"0";"671";"1789";"15";"38";"0";"0";"1498";"1687";"985"
"8054171";"9100000599421";"CIPROFLO UBI 750MG CP 10X10";"1440";"0";"208";"237";"52";"170";"0";"0";"287";"654";"690"
"1455211";"3000000460764";"CLOTRIMAZOLE UBI 1% CR T/20/12";"42";"0";"0";"18";"0";"0";"0";"0";"1";"0";"0"
"1927181";"3000000889237";"CLOTRIMAZOLE UBI 200MG CR/10";"281";"0";"1";"1";"4";"0";"0";"0";"0";"0";"0"
"8054248";"9100000597481";"COTRIMOX FORT UBI 960MG 10BL10";"1700";"0";"139";"445";"90";"64";"0";"0";"209";"789";"702"
"8054254";"9100000604691";"COTRIMOX NORM UBI 480MG 10BL10";"12053";"0";"2184";"2840";"1088";"1226";"0";"0";"2320";"7714";"5952"
"8054260";"9100000597491";"COTRIMOX UBI 480/5ML SP F100ML";"2421";"0";"1444";"843";"307";"320";"0";"0";"1283";"2521";"1582"
"1927191";"3000000889206";"DESLORATADINE UBI 0,5MG/ML /60";"1715";"0";"1";"62";"7";"41";"0";"0";"22";"0";"0"
"8099512";"9100000717781";"DICLOFENAC UBI 75MG INJ A10X10";"11";"0";"87";"113";"124";"10";"0";"0";"123";"187";"139"
"1927211";"3000000889213";"ESOMEPRAZOLE UBI 40MG CP B/100";"188";"0";"5";"15";"10";"0";"0";"0";"6";"0";"0"
"8099529";"9100000717751";"FERRIC CIT AMM UBI SP FL/200ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8054047";"9100000599431";"IBUPROFENE UBI 400MG CP/10X10";"9050";"0";"1847";"12008";"1298";"1530";"0";"0";"2554";"9354";"7422"
"8054142";"9100000597541";"KETOPROFENE UBI 100MG CP 10X10";"166";"0";"4";"44";"19";"16";"0";"0";"8";"44";"60"
"1455221";"3000000460788";"LIDOCAINE UBI 2% S.INJ FL/20ML";"5919";"0";"150";"1750";"559";"117";"0";"0";"756";"2322";"2041"
"1455231";"3000000460801";"LOPERAMIDE UBI 2MG GEL B/100";"438";"0";"6";"124";"20";"6";"0";"0";"71";"0";"0"
"8054053";"9100000614101";"MEBENDAZOLE UBI 100MG CP B/60";"1071";"0";"56";"270";"36";"17";"0";"0";"109";"353";"391"
"8054277";"9100000612251";"MEBENDAZOLE UBI 100MG SP /30ML";"1094";"0";"13";"108";"58";"314";"0";"0";"124";"440";"330"
"8054521";"9100000612281";"METRONIDAZ UBI 125MG/5ML 100ML";"1134";"0";"781";"1208";"335";"478";"0";"0";"930";"1496";"842"
"8054076";"9100000597501";"METRONIDAZ UBI 250MG CP 100X10";"232";"0";"8";"17";"5";"10";"0";"0";"13";"62";"80"
"8054509";"9100000612291";"METRONIDAZ UBI 500 S.INJ 100ML";"14792";"0";"972";"2840";"537";"250";"0";"0";"1234";"4877";"5853"
"1524231";"3000000460757";"NYSTATINE UBI 100000UI FL/30ML";"2593";"0";"94";"300";"63";"50";"0";"0";"173";"475";"430"
"8099498";"9100000717761";"OMEPRAZOLE UBI 20MG CP 10X7";"1212";"0";"147";"320";"106";"133";"0";"0";"352";"657";"667"
"8054283";"9100000597531";"PARACETAMOL UBI 120MG/5ML 60ML";"596";"0";"237";"578";"120";"110";"0";"0";"221";"2523";"946"
"8054082";"9100000593341";"PARACETAMOL UBI 500MG CP100X10";"3809";"0";"587";"849";"340";"323";"0";"0";"745";"2353";"2128"
