TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA-UBIGEN

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8015923;AMPICILLINE UBI 1G PDRE SOL INJ B/1;164;225;0;M;0;0;0;0;0;0;0;0;
8054515;CIPROFLOXACINE UBI 100MG SOL INJ F/50ML;655;915;0;M;1820;2;864;463;351;0;557;2237;
3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;8565;11913;76;M;24;1;20;13;11;23;0;68;
8099475;ARTEMETHER UBI 40MG IM AMP INJ B/10;3936;5473;206;M;180;18;244;132;85;259;124;862;
8099452;ARTEMETHER UBI 80MG AMP INJ B/10;4723;6567;884;L;0;52;518;505;576;871;696;3218;
3000000460764;CLOTRIMAZOLE UBI 1% CR T/20G B/12;5901;8210;45;M;36;1;28;22;15;33;16;115;
8099512;DICLOFENAC UBI 75MG/3ML IM AMPINJ 10BL10;4591;6385;1117;M;1080;77;554;427;540;756;511;2865;
8054142;KETOPROFENE UBI 100MG CPR 10 BL 10;3543;4929;61;M;0;3;21;10;10;16;49;109;
9999087;METRONIDAZOLE  UBI 100MG CP 10BL6;1065;1480;0;M;0;0;0;0;0;0;0;0;
3000000460757;NYSTATINE UBI 100000UI/ML SUSP BUV F/30ML;655;912;503;M;1680;96;523;522;550;551;573;2815;
3000000460795;TRIBIODERM POMMADE 1G SACHETS B/144;6295;8757;76;M;128;7;57;38;57;52;50;261;
8054231;AMOXICILLIN UBI 250MG/5ML PDRSUSP F60ML;479;666;18490;L;0;1709;11748;7450;17898;13074;20946;72825;
8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;426;593;16306;L;0;1071;10794;8339;15138;12850;15073;63265;
8054024;AMOXICILLINE UBI 500MG GEL 10BL 12;3935;5472;6748;L;0;586;5620;4195;5144;5123;4678;25346;
8099469;ARTEMETHER UBI 20MG AMP INJ B/10;2627;3649;401;M;0;11;113;78;96;215;132;645;
8054484;BENZATHINE BENZYLPENI UBI 2,4MUI IM B/1;525;730;5981;L;5760;778;4844;6390;4602;5421;5272;27307;
8054171;CIPROFLOXACINE UBI 750MG CPR 10 BL 10;5510;7662;1482;L;0;117;935;763;897;1158;855;4725;
8054260;COTRIMOXAZOL UBI 480MG/5ML PDR SUSP100ML;525;730;957;L;770;146;803;448;736;1415;1292;4840;
8054248;COTRIMOXAZOLE FORT UBI 960MG CPR 10BL10;3281;4560;55;M;40;3;26;25;13;17;17;101;
8054254;COTRIMOXAZOLE UBI 480MG CPR 10BL10;1248;1733;18;M;30;0;14;2;11;1;24;52;
8054047;IBUPROFENE UBI  400MG CPR 10 BL 10;1429;1988;4630;L;4500;481;4378;3681;3865;5308;6073;23786;
3000000460788;LIDOCAINE UBI 2% SOL INJ F/20ML;555;775;3392;M;1200;172;994;1060;1072;686;1267;5251;
3000000460801;LOPERAMIDE UBI 2MG GEL 10 BL 10;3281;4561;84;M;200;16;126;44;110;91;81;468;
8054277;MEBENDAZOLE UBI 100MG/5ML PDRE SUSP/30ML;424;593;0;M;600;0;156;136;106;185;129;712;
8054521;METRONIDAZOL UBI 125MG/5ML PDR SUSP100ML;368;511;5870;L;0;322;2692;2338;2523;4306;0;12181;
8054076;METRONIDAZOLE UBI 250MG CPR 100 BL 10;7872;10945;85;M;96;1;52;23;53;39;36;204;
8054509;METRONIDAZOLE UBI 500MG SOL INJ F/100ML;525;730;6231;L;23616;1387;19230;10067;9339;9447;24089;73559;
8099498;OMEPRAZOLE UBI 20MG CPR 10BL7;4591;6386;6;M;160;6;54;42;37;50;0;189;
8054455;OXACILLINE UBI 250MG/5ML PDRESUSP/60ML;711;987;679;M;198;11;179;145;281;131;378;1125;
8054136;OXACILLINE UBI 500MG GEL 10 BL 12;15745;21894;6;M;55;0;23;17;13;19;12;84;
8054283;PARACETAMOL UBI 120MG/5ML PDRE SUSP/60ML;393;546;210;M;240;45;182;129;134;182;98;770;
8054082;PARACETAMOL UBI 500MG CPR 100BL 10;7084;9855;1625;L;0;261;1320;1190;671;2507;1366;7315;
